iter	RMSE
187	59.33035879
188	59.1705213
189	58.96511408
190	58.64334001
191	57.81601802
192	57.66798405
193	57.52532277
194	57.38784293
195	56.94894297
196	56.82485275
197	56.72169609
198	56.59352488
199	55.9657855
200	55.84118579
201	55.47152556
202	55.17780359
203	54.50022835
204	54.42131908
205	54.00797948
206	53.84028664
207	53.32001683
208	53.20661969
209	53.09733124
210	52.79748043
211	52.69307448
212	52.56103627
213	52.46815703
214	51.89117303
215	51.3442107
216	51.27983154
217	51.18181277
218	51.11210904
219	50.94422894
220	50.69533618
221	50.39227746
222	50.06759302
223	49.85015797
224	49.64910168
225	49.41519434
226	49.33655082
227	49.25107345
228	49.17845873
229	48.66769417
230	48.51399517
231	48.07485754
232	47.91547424
233	47.73184481
234	47.48646018
235	47.31782648
236	46.85165476
237	46.78295545
238	46.34732598
239	45.76613774
240	45.36703415
241	45.16278477
242	44.63871337
243	44.2260378
244	43.89298514
245	43.60859337
246	43.25516076
247	42.97009112
248	42.89729956
249	42.61762409
250	42.54676849
251	42.06889683
252	41.97927471
253	41.84659766
254	41.77907596
255	41.67831282
256	41.46471907
257	41.16986078
258	40.96464918
259	40.76807481
260	40.58715406
261	40.42934217
262	40.09688559
263	40.04692186
264	39.66381242
265	39.54491474
266	39.43225238
267	39.18491328
268	38.95575203
269	38.74534963
270	38.52265385
271	38.38273976
272	38.2108861
273	38.02743141
274	37.77098754
275	37.59650557
276	37.49716631
277	37.3381165
278	37.28198074
279	37.13373037
280	36.97149444
281	36.85035923
282	36.73275696
283	36.48350353
284	36.33883547
285	36.24240122
286	36.06309117
287	35.83401218
288	35.61104246
289	35.50960762
290	35.36342197
291	35.08221047
292	34.93822399
293	34.61729135
294	34.42047881
295	34.3834499
296	34.04281914
297	33.99844184
298	33.96281672
299	33.70308242
300	33.66831182
301	33.57598969
302	33.42266319
303	33.21510469
304	33.18181216
305	33.05404198
306	32.9305558
307	32.84355921
308	32.67665389
309	32.48086597
310	32.31436725
311	32.10143785
312	32.02592722
313	31.75395676
314	31.63403095
315	31.5081305
316	31.44776179
317	31.38981291
318	31.29859259
319	31.1238275
320	30.97604784
321	30.9065779
322	30.66738984
323	30.55486995
324	30.37947865
325	30.24310203
326	30.12044945
327	29.94046571
328	29.84457239
329	29.74468494
330	29.71777438
331	29.64657937
332	29.5447857
333	29.3763998
334	29.27648295
335	29.10407327
336	29.03749526
337	28.96668494
338	28.90908339
339	28.70234244
340	28.56927495
341	28.51252136
342	28.45859282
343	28.23433604
344	28.14253238
345	28.08366036
346	27.94686875
347	27.77701105
348	27.60480423
349	27.44117323
350	27.37205728
351	27.27634499
352	27.08196862
353	27.03272534
354	26.91963571
355	26.83805339
356	26.65771788
357	26.47441919
358	26.32442799
359	26.27019311
360	26.16295879
361	26.08603525
362	25.99974777
363	25.93508173
364	25.79533942
365	25.61949442
366	25.51993456
367	25.45014301
368	25.38527107
369	25.28297251
370	25.09229907
371	25.03212121
372	24.92285775
373	24.79421403
374	24.75241139
375	24.6166786
376	24.57605704
377	24.50259837
378	24.36402826
379	24.3451092
380	24.25768729
381	24.17793746
382	24.13016211
383	23.98384759
384	23.88581999
385	23.82578452
386	23.76018415
387	23.7089661
388	23.58107446
389	23.52470234
390	23.39815148
391	23.34318616
392	23.29362964
393	23.18593801
394	23.08164569
395	23.00358674
396	22.98301808
397	22.87204711
398	22.80634153
399	22.73082104
400	22.67131051
401	22.5028958
402	22.44576247
403	22.39266942
404	22.34434803
405	22.27244227
406	22.17433834
407	22.14639381
408	22.09941905
409	22.0081688
410	21.95981291
411	21.85041784
412	21.78635181
413	21.67662508
414	21.63001971
415	21.57516797
416	21.45933585
417	21.41721316
418	21.35887526
419	21.30796597
420	21.26855688
421	21.13412989
422	21.08619805
423	21.00712
424	20.96509862
425	20.88445771
426	20.76350955
427	20.70423003
428	20.64798528
429	20.61117648
430	20.51433862
431	20.43535609
432	20.35163935
433	20.29240825
434	20.25992737
435	20.20101672
436	20.16216816
437	20.07397213
438	20.0129374
439	19.9325471
440	19.88102997
441	19.84647078
442	19.80800691
443	19.73150386
444	19.67011249
445	19.59016447
446	19.53078178
447	19.41804964
448	19.37661171
449	19.32572194
450	19.24765191
451	19.21426738
452	19.1766046
453	19.10335908
454	19.00214777
455	18.97557643
456	18.92434331
457	18.8266228
458	18.8007043
459	18.73433944
460	18.66625325
461	18.61022709
462	18.57594928
463	18.54769194
464	18.49961913
465	18.45252622
466	18.39088661
467	18.32521753
468	18.25699951
469	18.20203551
470	18.15899113
471	18.12609788
472	18.04695579
473	17.98432897
474	17.94125249
475	17.8772308
476	17.83916854
477	17.79522546
478	17.74635091
479	17.70251631
480	17.65967221
481	17.60149188
482	17.54597069
483	17.48887245
484	17.45077085
485	17.41148655
486	17.34615547
487	17.30190735
488	17.23022097
489	17.18144346
490	17.1429896
491	17.1102086
492	17.05859435
493	16.99824497
494	16.95809765
495	16.92092969
496	16.87976078
497	16.84022234
498	16.79780081
499	16.76554641
500	16.70306404
501	16.64596384
502	16.61143052
503	16.56770623
504	16.52467453
505	16.47578636
506	16.44389113
507	16.38253785
508	16.34898706
509	16.3154876
510	16.27711808
511	16.24314764
512	16.19195033
513	16.136075
514	16.09933906
515	16.07000343
516	16.01774847
517	15.97892621
518	15.93691238
519	15.86376364
520	15.82854777
521	15.7995091
522	15.76070835
523	15.71689564
524	15.68261118
525	15.63523414
526	15.58500459
527	15.52631023
528	15.49641218
529	15.46327895
530	15.4207915
531	15.3932725
532	15.34607402
533	15.28915252
534	15.23340849
535	15.20107969
536	15.17228718
537	15.13909307
538	15.09768543
539	15.059334
540	15.0241532
541	15.00329285
542	14.98199963
543	14.95152692
544	14.91933861
545	14.88413212
546	14.84627192
547	14.79846246
548	14.76650906
549	14.72850191
550	14.69578822
551	14.66578673
552	14.6403682
553	14.61350381
554	14.59381698
555	14.55590218
556	14.52650027
557	14.49713023
558	14.46687593
559	14.422513
560	14.39538362
561	14.37534542
562	14.35144883
563	14.31815227
564	14.26909875
565	14.25209748
566	14.21491953
567	14.18958801
568	14.13868472
569	14.1225515
570	14.09134872
571	14.04555481
572	14.01917565
573	13.99893492
574	13.94789607
575	13.92256638
576	13.89694435
577	13.87598719
578	13.85493894
579	13.82112733
580	13.79805089
581	13.77618184
582	13.756264
583	13.73113486
584	13.70265101
585	13.66712077
586	13.62913843
587	13.59703907
588	13.54698578
589	13.51381572
590	13.47909912
591	13.45409724
592	13.43541447
593	13.40264282
594	13.3657274
595	13.32429768
596	13.30508064
597	13.2820698
598	13.26234453
599	13.24393879
600	13.20620989
601	13.1805742
602	13.15096537
603	13.11427768
604	13.09263913
605	13.07498715
606	13.05764488
607	13.03151101
608	12.99852892
609	12.97741792
610	12.94416586
611	12.91893252
612	12.89335643
613	12.8744427
614	12.8563824
615	12.84271124
616	12.8108665
617	12.7836695
618	12.76613396
619	12.73574753
620	12.70739301
621	12.67532497
622	12.63288681
623	12.60307254
624	12.57650858
625	12.55882233
626	12.53346371
627	12.50353281
628	12.47754782
629	12.44659706
630	12.43151921
631	12.40277721
632	12.37942639
633	12.36326515
634	12.32993002
635	12.30909384
636	12.28175347
637	12.2596158
638	12.23833821
639	12.21500272
640	12.19790067
641	12.18274043
642	12.16818385
643	12.15484407
644	12.1323718
645	12.11048431
646	12.08368998
647	12.06714147
648	12.04773436
649	12.0330382
650	11.99539341
651	11.97067235
652	11.95616994
653	11.9357854
654	11.91837064
655	11.9029554
656	11.89225052
657	11.87776822
658	11.86616223
659	11.85212395
660	11.8333256
661	11.80786963
662	11.76908092
663	11.7548262
664	11.73171465
665	11.71988321
666	11.70739282
667	11.68259638
668	11.65886923
669	11.63116574
670	11.61474998
671	11.59957044
672	11.57456799
673	11.55478054
674	11.5301169
675	11.515572
676	11.49906851
677	11.47832087
678	11.45720552
679	11.43661106
680	11.41020566
681	11.39164806
682	11.38314387
683	11.36155351
684	11.34721809
685	11.31058345
686	11.29336808
687	11.28266349
688	11.26134901
689	11.24628326
690	11.22866693
691	11.20392905
692	11.1886509
693	11.1688942
694	11.1338758
695	11.1268349
696	11.09901572
697	11.08757072
698	11.07611524
699	11.06722103
700	11.06133634
701	11.04075938
702	11.02845756
703	11.01125435
704	10.99408569
705	10.97425199
706	10.961228
707	10.95064099
708	10.92905418
709	10.91337082
710	10.89873626
711	10.88004542
712	10.86671953
713	10.85399472
714	10.83361798
715	10.81376142
716	10.78217226
717	10.76478911
718	10.75252588
719	10.74255935
720	10.73220387
721	10.71720618
722	10.70192233
723	10.68138144
724	10.67231524
725	10.65736004
726	10.64200294
727	10.61904024
728	10.61246674
729	10.60267252
730	10.57741685
731	10.56095574
732	10.55026787
733	10.54095966
734	10.51474145
735	10.50569087
736	10.49269486
737	10.46813087
738	10.45932865
739	10.4449815
740	10.4306978
741	10.42168738
742	10.40605687
743	10.3869399
744	10.37010987
745	10.36160654
746	10.34786388
747	10.33752543
748	10.32991474
749	10.32430647
750	10.31392437
751	10.30284433
752	10.29403956
753	10.28137543
754	10.2665343
755	10.25595894
756	10.24587617
757	10.23006633
758	10.21696007
759	10.21064278
760	10.19396595
761	10.17493527
762	10.16485544
763	10.14436821
764	10.13292358
765	10.11997703
766	10.10857257
767	10.08924328
768	10.07959861
769	10.05518463
770	10.04557859
771	10.026966
772	10.00476805
773	10.00187397
774	9.989900727
775	9.97512788
776	9.965821341
777	9.957950936
778	9.948482302
779	9.937213549
780	9.92955353
781	9.919617781
782	9.908367675
783	9.895063817
784	9.885845763
785	9.879234673
786	9.859230339
787	9.851850041
788	9.843197135
789	9.837028315
790	9.822545147
791	9.812573328
792	9.80705068
793	9.78375388
794	9.774715292
795	9.757152635
796	9.747215812
797	9.730295784
798	9.708945987
799	9.693505514
800	9.681623681
801	9.671858397
802	9.656836355
803	9.646373962
804	9.634333718
805	9.618196893
806	9.613871202
807	9.598925034
808	9.588874398
809	9.577713127
810	9.571808205
811	9.557201178
812	9.545612332
813	9.538323924
814	9.515755663
815	9.509204058
816	9.495642402
817	9.488241906
818	9.483895393
819	9.474838002
820	9.46488036
821	9.457664059
822	9.447085826
823	9.439960973
824	9.429839454
825	9.42111356
826	9.414691412
827	9.40155641
828	9.385185116
829	9.370118002
830	9.35769812
831	9.349122972
832	9.337368109
833	9.323629676
834	9.306902876
835	9.294524637
836	9.283885875
837	9.275039367
838	9.270855526
839	9.255361238
840	9.24411648
841	9.2352214
842	9.224955566
843	9.207239246
844	9.19776275
845	9.181424696
846	9.174972862
847	9.162685925
848	9.151024213
849	9.132115972
850	9.121176754
851	9.114810642
852	9.108679946
853	9.099455327
854	9.084340658
855	9.070043282
856	9.062613008
857	9.047949187
858	9.042600959
859	9.024133524
860	9.01594175
861	9.010343756
862	9.004421436
863	8.99244907
864	8.976524381
865	8.955896063
866	8.944901958
867	8.935932014
868	8.925580496
869	8.916125306
870	8.908240598
871	8.899719345
872	8.8904916
873	8.877930113
874	8.865329957
875	8.857327752
876	8.839493687
877	8.832455797
878	8.820035483
879	8.813189432
880	8.808967208
881	8.797050758
882	8.787901992
883	8.778348699
884	8.770466895
885	8.762431898
886	8.753603567
887	8.737953372
888	8.731246993
889	8.721984949
890	8.710629216
891	8.701778586
892	8.6916901
893	8.685550842
894	8.672837944
895	8.652898543
896	8.639304967
897	8.629374687
898	8.617384903
899	8.609196561
900	8.599802677
901	8.596561949
902	8.591052305
903	8.577398575
904	8.571180751
905	8.558721989
906	8.550217503
907	8.540700549
908	8.532731262
909	8.523539189
910	8.511475835
911	8.505688627
912	8.498745815
913	8.490076331
914	8.475215949
915	8.46656907
916	8.465101617
917	8.455970758
918	8.445683412
919	8.440330253
920	8.428617368
921	8.4204794
922	8.412578647
923	8.407190267
924	8.39936085
925	8.391622953
926	8.383223925
927	8.368222299
928	8.359651545
929	8.356744822
930	8.349408046
931	8.335164217
932	8.328041214
933	8.318169154
934	8.308511697
935	8.300597306
936	8.286485613
937	8.271923209
938	8.265064194
939	8.258063876
940	8.248669384
941	8.245157895
942	8.229830131
943	8.221081571
944	8.210179498
945	8.203945197
946	8.197565046
947	8.191346987
948	8.180782418
949	8.174017771
950	8.169676502
951	8.155116833
952	8.147833339
953	8.13969079
954	8.131420372
955	8.126873243
956	8.116122254
957	8.107203202
958	8.097180441
959	8.082980947
960	8.074324396
961	8.070809162
962	8.065480693
963	8.060377834
964	8.047435499
965	8.040924475
966	8.035592844
967	8.022644758
968	8.009858354
969	7.997555261
970	7.984480586
971	7.973693454
972	7.962219064
973	7.959792789
974	7.952541763
975	7.945346263
976	7.936171026
977	7.927748198
978	7.92226471
979	7.905326874
980	7.898445364
981	7.888487185
982	7.879631595
983	7.871319853
984	7.863577359
985	7.854575292
986	7.844553793
987	7.838648463
988	7.831316934
989	7.821421103
990	7.817670371
991	7.808458128
992	7.80099964
993	7.79586005
994	7.78579054
995	7.780983602
996	7.773832494
997	7.763922631
998	7.755606338
999	7.752434832
