iter	Passed	Remaining
388	988	1552
389	990	1549
390	992	1545
391	994	1542
392	996	1539
393	998	1536
394	1001	1533
395	1003	1530
396	1005	1526
397	1007	1524
398	1009	1520
399	1011	1517
400	1013	1514
401	1015	1510
402	1017	1507
403	1019	1504
404	1021	1501
405	1023	1497
406	1026	1495
407	1028	1492
408	1030	1489
409	1032	1486
410	1035	1483
411	1037	1480
412	1039	1476
413	1041	1473
414	1043	1470
415	1045	1467
416	1047	1464
417	1049	1460
418	1051	1457
419	1052	1454
420	1055	1451
421	1057	1448
422	1059	1444
423	1061	1441
424	1063	1438
425	1065	1435
426	1067	1432
427	1069	1429
428	1071	1426
429	1073	1423
430	1076	1420
431	1077	1417
432	1079	1413
433	1082	1411
434	1084	1408
435	1086	1405
436	1089	1403
437	1091	1399
438	1092	1396
439	1095	1394
440	1097	1391
441	1099	1387
442	1101	1384
443	1103	1381
444	1105	1378
445	1107	1375
446	1109	1372
