iter	F1	Logloss
0	0.9799351439	0.6591945853
1	0.9799351439	0.6298651636
2	0.9799351439	0.5864875885
3	0.9802331475	0.5449283262
4	0.9812239927	0.5073540015
5	0.981925264	0.4702559317
6	0.9824204857	0.4426862455
7	0.9827235772	0.413717017
8	0.9831197885	0.3857501734
9	0.9833197722	0.3602953348
10	0.9834197945	0.3395058399
11	0.9826237171	0.3277016092
12	0.9831197885	0.3080917521
13	0.9833197722	0.2895147867
14	0.9840203562	0.2735998895
15	0.9849225754	0.2563199167
16	0.9863293205	0.2407596314
17	0.9865306122	0.2273983512
18	0.9871349806	0.2152425223
19	0.9874348759	0.2058911016
20	0.9878360421	0.1921216037
21	0.9884422625	0.1815665614
22	0.9886445013	0.1722939396
23	0.9887479542	0.1686050196
24	0.9889525368	0.1575486543
25	0.9897624898	0.1487999573
26	0.9897624898	0.1442552656
27	0.9899651853	0.1373066064
28	0.9907767985	0.1298888128
29	0.9908783438	0.1237912275
30	0.9910814967	0.1199160718
31	0.9914880525	0.114769144
32	0.9916914555	0.1091489085
33	0.9919967166	0.1030781272
34	0.9920985121	0.09955213798
35	0.9923021657	0.09546566965
36	0.9926078029	0.09180354747
37	0.9929136284	0.08761205137
38	0.9931176168	0.08418794359
39	0.9933216891	0.08012314023
40	0.9936279548	0.07622217277
41	0.9940366029	0.07314034415
42	0.9938322368	0.07080194058
43	0.9942410531	0.06866848551
44	0.9943433097	0.06564682501
45	0.9942410531	0.06356045779
46	0.9943433097	0.06209693848
47	0.9944455873	0.05993085083
48	0.994547886	0.05820690074
49	0.994547886	0.05716911015
50	0.9948549084	0.05569611683
51	0.9950596953	0.05386717203
52	0.9952645666	0.05257824054
53	0.9954695222	0.051144539
54	0.9955720317	0.04978380722
55	0.9954695222	0.04884473512
56	0.995777114	0.04792982922
57	0.995777114	0.04700604369
58	0.995777114	0.04590744199
59	0.9958796869	0.04455181943
60	0.9958796869	0.04360984119
61	0.9960848959	0.04250493579
62	0.9961875322	0.04184667641
63	0.9961875322	0.04085241933
64	0.9962901896	0.0401704355
65	0.9961875322	0.03945241665
66	0.9961875322	0.03882386703
67	0.9961875322	0.03805658547
68	0.9962901896	0.0374121432
